pair_master,episode,TOP_J,DENSE_J,TOP_minus_DENSE
8221,0,0.1698647988305957,0.23235477594387577,-0.06248997711328008
8221,1,0.08506463354718562,0.15185158224886244,-0.06678694870167683
8221,2,0.10770009701916514,0.15661086124086582,-0.04891076422170068
8221,3,0.1420677196086699,0.14721191695289867,-0.005144197344228774
8221,4,0.04806474083004849,0.14882021286991798,-0.10075547203986948
8221,5,0.10642650362404027,0.16055528447430825,-0.05412878085026798
8221,6,0.13470042453675873,0.08172844553758238,0.052971978999176356
8221,7,0.14852928043017782,0.17737991603762637,-0.02885063560744855
8221,8,0.09339446831426344,0.27433374619873213,-0.18093927788446867
8221,9,0.1420119187943077,0.24002757536436006,-0.09801565657005237
8221,10,0.03640004945398772,0.1511786511750045,-0.11477860172101678
8221,11,0.11422190441327636,0.19526522529299767,-0.08104332087972131
8221,12,0.08605210427152916,0.16012725650103501,-0.07407515222950585
8221,13,0.16364647291577158,0.2425673785044986,-0.07892090558872702
8221,14,0.08095011556277368,0.20340367716931862,-0.12245356160654494
8221,15,0.10353530595573522,0.132705079076264,-0.029169773120528777
8221,16,0.10279499511593572,0.15421751242685955,-0.05142251731092383
8221,17,0.09914113425363832,0.1741946239541582,-0.07505348970051987
8221,18,0.1361368313217213,0.22890558585599483,-0.09276875453427352
8221,19,0.04166334767305538,0.06136966746533899,-0.019706319792283614
8221,20,0.11160966607220345,0.1891816538638178,-0.07757198779161435
8221,21,0.07720805699885354,0.07419827051806518,0.003009786480788354
8221,22,0.11634030268228075,0.14416473236120053,-0.02782442967891978
8221,23,0.04281858738707783,0.03092751388508355,0.011891073501994285
8221,24,0.11328565630488392,0.20744865011389318,-0.09416299380900926
8221,25,0.10606628664048405,0.0998283574033586,0.0062379292371254474
8221,26,0.056283588323662224,0.2344766808447509,-0.17819309252108867
8221,27,0.13390137493057425,0.20167178692855633,-0.06777041199798209
8221,28,0.12132936558261699,0.238070244004109,-0.11674087842149201
8221,29,0.15028827351489923,0.21497073399531288,-0.06468246048041365
8221,30,0.07964726534029333,0.24627801965498003,-0.1666307543146867
8221,31,0.14576168349877835,0.23131268981247824,-0.08555100631369988
