endpoint,episode,COND_J,DENSE_J,COND_minus_DENSE
256,0,0.09156869421892563,0.10035309420943977,-0.008784399990514141
256,1,0.11785770037752193,0.10035274741793261,0.017504952959589315
256,2,0.1584311845368748,0.1522879425499213,0.006143241986953485
256,3,0.08272300380998225,0.07426917611259377,0.008453827697388477
256,4,0.1442208003135012,0.13411669100529552,0.010104109308205683
256,5,0.1322276164777934,0.12310121834822983,0.009126398129563576
256,6,0.15836167385271285,0.16103095649968743,-0.00266928264697458
256,7,0.09730680207782992,0.08436664421240121,0.012940157865428709
256,8,0.01382788420493046,0.013994942061034696,-0.00016705785610423608
256,9,0.09796831585985365,0.08704188087102208,0.010926434988831571
256,10,0.019186157841391764,0.020893925016702737,-0.001707767175310973
256,11,0.09514847307775856,0.08596947389280382,0.00917899918495474
256,12,0.0716897640024719,0.06219605100884112,0.009493712993630783
256,13,0.07457859386640373,0.07075892830912334,0.0038196655572803884
256,14,0.054518259057276655,0.04525168337497368,0.009266575682302977
256,15,0.08624525604456082,0.07352056489123249,0.012724691153328332
256,16,0.13357368919066562,0.11825364744819263,0.015320041742472992
256,17,0.05760977666077891,0.05194082502735292,0.005668951633425991
256,18,0.046189899638459604,0.039106713562420375,0.007083186076039229
256,19,0.0801801819475152,0.07628030475359801,0.003899877193917184
256,20,0.0800682299761035,0.06088057989562519,0.019187650080478305
256,21,0.027558715510991795,0.028063874146950323,-0.0005051586359585275
256,22,0.16326771615811175,0.14154794737270934,0.02171976878540241
256,23,0.15988598744012264,0.1478520011061128,0.012033986334009844
256,24,0.09793665660799081,0.09904203846478439,-0.001105381856793583
256,25,0.07895911604108301,0.07892546271411136,3.3653326971652686e-05
256,26,0.07297354558994723,0.05040317421170428,0.02257037137824295
256,27,0.0984343125856398,0.09822702052253295,0.0002072920631068509
256,28,0.11108828255144493,0.09026290981575794,0.020825372735686992
256,29,0.1297529885346084,0.12783702982351045,0.0019159587110979537
256,30,0.12410584731675656,0.10988120462199542,0.014224642694761133
256,31,0.11320633727978165,0.09479186989291569,0.01841446738686596
512,0,0.116679499009327,0.15586885695564673,-0.039189357946319725
512,1,0.13980823362095957,0.11460921874291435,0.02519901487804521
512,2,0.2256202084256741,0.24360467340839922,-0.01798446498272513
512,3,0.11727999164778484,0.16305320312249516,-0.04577321147471032
512,4,0.15985402712753274,0.1438872044803903,0.015966822647142442
512,5,0.16534170388923794,0.18292842011881796,-0.017586716229580024
512,6,0.22274734814963415,0.21068666790799923,0.012060680241634925
512,7,0.12680883014490188,0.15278854887889448,-0.0259797187339926
512,8,0.022570514396662536,0.022626775162139758,-5.6260765477222224e-05
512,9,0.14940073408432172,0.12625106037756947,0.02314967370675225
512,10,0.018856321285257452,0.02333052698553811,-0.004474205700280658
512,11,0.15883694851523128,0.15119643019747403,0.00764051831775725
512,12,0.08813004460187565,0.130914514496011,-0.04278446989413534
512,13,0.0883829651963304,0.09369652435439971,-0.005313559158069303
512,14,0.05928452407037254,0.05777423824884054,0.0015102858215320022
512,15,0.11750420329800455,0.10966362210183446,0.007840581196170093
512,16,0.1897798356229393,0.19225698557812324,-0.0024771499551839438
512,17,0.05409341239411086,0.04674415843334394,0.007349253960766924
512,18,0.05242690634398261,0.06544080625317164,-0.013013899909189032
512,19,0.1261404424826155,0.09818728440087165,0.02795315808174384
512,20,0.17637697211982806,0.14844564052792167,0.02793133159190639
512,21,0.03096811648426138,0.04946655654790919,-0.01849844006364781
512,22,0.19366892403931396,0.16825838062870646,0.0254105434106075
512,23,0.17879025520617564,0.18571748899519883,-0.006927233789023185
512,24,0.0950133354534478,0.08994105565832963,0.005072279795118165
512,25,0.08273768601210417,0.15099451413227558,-0.0682568281201714
512,26,0.07915999630125474,0.07867284029815136,0.00048715600310338114
512,27,0.1905676390704181,0.16338170741017832,0.027185931660239776
512,28,0.19930627141923388,0.2503447544157565,-0.05103848299652261
512,29,0.1827752234476633,0.18443907606770302,-0.0016638526200397075
512,30,0.14308713400877004,0.1924768132068031,-0.049389679198033054
512,31,0.13734641559341218,0.11369653878004159,0.023649876813370593
