seed,update,T,G,T_minus_G,conditional_episode_se,T_no_submit,G_no_submit,F_if_main
1,32,0.365390625,-0.2,0.565390625,0.04469850641448661,7,128,
1,64,0.3671875,-0.2,0.5671875,0.04446545725092079,4,128,
1,128,0.3755859375,0.3755859375,0.0,0.0,50,50,0.3755859375
2,32,0.26453125,-0.2,0.46453125,0.04320055138477201,6,128,
2,64,0.35453125,0.097578125,0.256953125,0.04255013234087827,10,79,
2,128,0.363779296875,0.363779296875,0.0,0.0,41,41,0.363779296875
3,32,0.288984375,-0.2,0.48898437499999997,0.04449033888366265,15,128,
3,64,0.37109375,0.37109375,0.0,0.0,8,8,
3,128,0.385927734375,0.385927734375,0.0,0.0,39,39,0.385927734375
