seed,contrast,aggregate,zone1,zone2,aggregate_episode_SE,U_total,U_intact,J_ext
2026090501,MAPR_final_minus_initial,0.20412760416666667,0.26119791666666664,0.14705729166666667,0.017111614278874872,0.3568879797090057,0.44966500946969695,0.2805077919378362
2026090501,DIRECT_final_minus_initial,0.18865885416666667,0.233125,0.14419270833333334,0.013919579399708379,0.3538486142917862,0.44819979933261184,0.27125373422922644
2026090501,MAPR_minus_DIRECT,0.015468749999999996,0.028072916666666663,0.0028645833333333336,0.013380397505644622,0.003039365417219516,0.0014652101370851373,0.009254057708609757
2026090501,MAPR_minus_BCRH,-0.04182291666666667,-0.04026041666666667,-0.04338541666666667,0.013597778473207135,-0.04817643922447522,-0.050148922258297264,-0.04499967794557094
2026090501,DIRECT_minus_BCRH,-0.057291666666666664,-0.06833333333333333,-0.04625,0.01568709003834848,-0.051215804641694736,-0.0516141323953824,-0.0542537356541807
2026090503,MAPR_final_minus_initial,0.199453125,0.24333333333333335,0.15557291666666667,0.020545231973222552,0.3377350596409261,0.2674904457521645,0.26859409232046305
2026090503,DIRECT_final_minus_initial,0.19552083333333334,0.27265625,0.11838541666666667,0.021628695710085907,0.3362834996731009,0.2282762333152958,0.26590216650321713
2026090503,MAPR_minus_DIRECT,0.0039322916666666725,-0.029322916666666657,0.037187500000000005,0.019853560530129537,0.0014515599678251471,0.039214212436868685,0.0026919258172459046
2026090503,MAPR_minus_BCRH,-0.06091145833333333,-0.08276041666666666,-0.0390625,0.013631995724756785,-0.025950031113245474,-0.015822426271645033,-0.04343074472328941
2026090503,DIRECT_minus_BCRH,-0.06484375,-0.0534375,-0.07625,0.010316831017610084,-0.027401591081070622,-0.05503663870851372,-0.04612267054053531
