master,episode,reset_seed,COND_J,DENSE_J,COND_minus_DENSE
8231,0,823102000,0.2387239298417186,0.17440222799977326,0.06432170184194536
8231,1,823102001,0.10221998218317062,0.1478623433826336,-0.04564236119946298
8231,2,823102002,0.11072746082108559,0.18848850334504028,-0.07776104252395469
8231,3,823102003,0.24255011797439205,0.284078224821854,-0.04152810684746197
8231,4,823102004,0.19211182060213317,0.09075637644557294,0.10135544415656023
8231,5,823102005,0.17758218561570624,0.20378801756657203,-0.026205831950865788
8231,6,823102006,0.11157748485902533,0.2074132077500955,-0.09583572289107017
8231,7,823102007,0.22011289667494166,0.25426935781334775,-0.03415646113840609
8231,8,823102008,0.10742666269080038,0.1531011044207131,-0.04567444172991271
8231,9,823102009,0.17964442597705318,0.267410883404783,-0.08776645742772979
8231,10,823102010,0.1093216814608011,0.27194971121622036,-0.16262802975541926
8231,11,823102011,0.22708851417363388,0.2652167863544532,-0.03812827218081935
8231,12,823102012,0.15897438083859358,0.175863330087652,-0.016888949249058427
8231,13,823102013,0.1740016476962485,0.13769926822276402,0.0363023794734845
8231,14,823102014,0.15927163264272218,0.21136167355764496,-0.05209004091492278
8231,15,823102015,0.13087061240998127,0.16072931637573873,-0.02985870396575746
8231,16,823102016,0.11030538311727534,0.1265965453827217,-0.016291162265446357
8231,17,823102017,0.10400195673908777,0.16146691245419711,-0.057464955715109345
8231,18,823102018,0.23813377820243137,0.3041250456809218,-0.06599126747849043
8231,19,823102019,0.19485348621524004,0.16274057806513656,0.03211290815010348
8231,20,823102020,0.22656673457840523,0.27825947511489446,-0.05169274053648923
8231,21,823102021,0.21613979431462774,0.22687543516391312,-0.010735640849285383
8231,22,823102022,0.20083027338465195,0.1642353251164145,0.03659494826823745
8231,23,823102023,0.15219056519748278,0.21064359159667403,-0.058453026399191255
8231,24,823102024,0.07571171429837951,0.17903096861329398,-0.10331925431491447
8231,25,823102025,0.17311554885083938,0.13096610449088084,0.04214944435995854
8231,26,823102026,0.19831532484372152,0.12227515645106864,0.07604016839265289
8231,27,823102027,0.1616934912926852,0.24283405479599435,-0.08114056350330914
8231,28,823102028,0.15553554697473915,0.19406035577309938,-0.03852480879836023
8231,29,823102029,0.1719858442536411,0.19856298417363571,-0.026577139919994608
8231,30,823102030,0.1991206587757001,0.2205057234862701,-0.02138506471057
8231,31,823102031,0.0831343257058929,0.12497118572967565,-0.04183686002378276
