episode,COND_J,DENSE_J,COND_minus_DENSE
0,0.10674725282515259,0.06015870780957781,0.04658854501557477
1,0.1968651757736754,0.1491206459455819,0.04774452982809352
2,0.2024510891967908,0.19109505066550386,0.011356038531286944
3,0.22173957412918985,0.1986788587135133,0.023060715415676558
4,0.18632543995014217,0.14634026348506082,0.039985176465081346
5,0.24451384074938817,0.2746130392481976,-0.030099198498809404
6,0.18372504490242147,0.1877691807908472,-0.004044135888425726
7,0.20354369187638185,0.15470107067706942,0.04884262119931243
8,0.17735405076646005,0.1054229602753375,0.07193109049112255
9,0.261380694336411,0.20982387686270879,0.05155681747370219
10,0.2591604564205141,0.25572131823375566,0.0034391381867584503
11,0.1829063989880287,0.12853985494245704,0.054366544045571674
12,0.24580494141499773,0.23235665139352424,0.013448290021473491
13,0.16776284443054856,0.1592173542221918,0.008545490208356765
14,0.2749211971861914,0.2872566314979053,-0.012335434311713911
15,0.240777304493396,0.2661073326252204,-0.025330028131824417
16,0.20184313870290896,0.16929046039544324,0.03255267830746572
17,0.18482705128439225,0.16451355956066682,0.02031349172372543
18,0.27957634425012595,0.28101940106769124,-0.0014430568175652914
19,0.23656236058465535,0.1794257920759503,0.05713656850870505
20,0.2448152786490297,0.18195081160793267,0.06286446704109702
21,0.2080687999405593,0.1943493019235041,0.013719498017055187
22,0.26127638579829077,0.20339042244845365,0.057885963349837116
23,0.1567123726542021,0.12803989054749226,0.028672482106709835
24,0.20295066459603547,0.19975690441346552,0.003193760182569949
25,0.24840902216574645,0.23543199496558329,0.012977027200163166
26,0.19156425162776056,0.17367336829977392,0.017890883327986634
27,0.15964572452567502,0.17135605421135142,-0.011710329685676396
28,0.2782291318910716,0.2417456342967509,0.036483497594320735
29,0.12063670789507235,0.08852649758035873,0.032110210314713616
30,0.10004332571372583,0.05374144401535138,0.04630188169837445
31,0.22576180729831752,0.2004672228404398,0.025294584457877717
