update,cycle,active_n,transitions_per_arm,tokens_per_arm,shared_success,specialist_success,shared_loss,specialist_loss,shared_gradient_norm,specialist_gradient_norm,sample_replay_logp_max_error,prefix_replay_max_error,masked_probability_mass_max,elapsed_seconds
12,3,2,6144,24064,0.0,0.0,-0.010388183407485485,-0.010403062216937542,0.008203609846532345,0.011962720192968845,0.0,0.0,0.0,34.26299460000155
13,3,3,6656,25600,0.0,0.0,-0.012920263223350048,-0.012914348393678665,0.00893369596451521,0.013201890513300896,0.0,0.0,0.0,37.2799651000023
14,3,6,7168,28672,0.0,0.0,-0.01870735175907612,-0.018627911806106567,0.008413161151111126,0.018859826028347015,0.0,0.0,0.0,41.88496120000491
15,3,4,7680,30720,0.0,0.0,-0.01540407259017229,-0.015348939225077629,0.007407072000205517,0.01586916297674179,0.0,0.0,0.0,44.345571500001824
16,4,4,8192,32768,0.0,0.0,-0.01541194785386324,-0.015393282286822796,0.00667510274797678,0.012095270678400993,0.0,0.0,0.0,47.029834600005415
17,4,5,8704,35328,0.0,0.0,-0.01701819896697998,-0.016986314207315445,0.005985158495604992,0.012734301388263702,0.0,0.0,0.0,50.59271890000673
18,4,3,9216,36864,0.0,0.0,-0.01295990590006113,-0.012952419929206371,0.00532882334664464,0.009346957318484783,0.0,0.0,0.0,52.96919670000352
19,4,2,9728,37888,0.0,0.0,-0.010447092354297638,-0.0104280486702919,0.004064156673848629,0.00916864350438118,0.0,0.0,0.0,54.67251329999999
20,4,6,10240,40960,0.0,0.0,-0.018748585134744644,-0.0186892319470644,0.002224271884188056,0.013943430036306381,0.0,0.0,0.0,58.486513300005754
21,5,2,10752,41984,0.0,0.0,-0.01046439167112112,-0.010444399900734425,0.0008976543322205544,0.006560792215168476,0.0,0.0,0.0,59.99225630000001
22,5,6,11264,45056,0.0,0.0,-0.01875440403819084,-0.01872091367840767,0.0016660395776852965,0.010015676729381084,0.0,0.0,0.0,63.50876040000003
23,5,3,11776,46592,0.0,0.0,-0.012989322654902935,-0.012971852906048298,0.002600675681605935,0.006198038347065449,0.0,0.0,0.0,65.74918460000481
24,5,5,12288,49152,0.0,0.0,-0.01704471744596958,-0.017019789665937424,0.003073266940191388,0.008340379223227501,0.0,0.0,0.0,69.61294310000085
25,5,4,12800,51200,0.0,0.0,-0.015446950681507587,-0.015423442237079144,0.004219674039632082,0.008261682465672493,0.0,0.0,0.0,72.27088590000494
26,6,4,13312,53248,0.0,0.0,-0.015446007251739502,-0.015437942929565907,0.004086770117282867,0.004591932520270348,0.0,0.0,0.0,74.69988620000368
27,6,5,13824,55808,0.0,0.0,-0.01704256795346737,-0.017035525292158127,0.003926892299205065,0.004532093182206154,0.0,0.0,0.0,78.02692510000634
28,6,3,14336,57344,0.0,0.0,-0.012988684698939323,-0.012978751212358475,0.003848521737381816,0.0034714355133473873,0.0,0.0,0.0,80.1157966000028
29,6,2,14848,58368,0.0,0.0,-0.010467044077813625,-0.010450217872858047,0.0035897791385650635,0.0031757026445120573,0.0,0.0,0.0,81.57283270000335
30,6,6,15360,61440,0.0,0.0,-0.018749965354800224,-0.01874127797782421,0.0044514150358736515,0.005735644605010748,0.0,0.0,0.0,85.08651080000709
31,7,2,15872,62464,0.0,0.0,-0.010470724664628506,-0.010445952415466309,0.0028724628500640392,0.0016085697570815682,0.0,0.0,0.0,86.86509150000347
32,7,4,16384,64512,0.0,0.0,-0.015449034981429577,-0.015440642833709717,0.0035170940682291985,0.0022182855755090714,0.0,0.0,0.0,90.0473684000026
33,7,6,16896,67584,0.0,0.0,-0.018755095079541206,-0.018747050315141678,0.0024467704351991415,0.0020975214429199696,0.0,0.0,0.0,94.80263660000492
34,7,3,17408,69120,0.0,0.0,-0.012991262599825859,-0.012975665740668774,0.001160399871878326,0.001459543826058507,0.0,0.0,0.0,97.68263030000526
