episode,reset_seed,COND_J,DENSE_J,COND_minus_DENSE
0,825202000,0.10636483458007706,0.10065195192849773,0.005712882651579335
1,825202001,0.1482498735744453,0.10792935747244328,0.04032051610200202
2,825202002,0.1242935114417363,0.07999126133809634,0.04430225010363996
3,825202003,0.0720282737850122,0.06216608175038347,0.00986219203462873
4,825202004,0.13205798698859528,0.13227164798632285,-0.00021366099772757163
5,825202005,0.17760357879566227,0.15837189872069568,0.01923168007496659
6,825202006,0.06162887752924171,0.04365261223701049,0.017976265292231224
7,825202007,0.22617956898437738,0.1885422648964719,0.03763730408790547
8,825202008,0.2031703028363901,0.1887643375316553,0.014405965304734786
9,825202009,0.09986863054060523,0.0829993693023306,0.016869261238274633
10,825202010,0.14749309211499542,0.08897739015331205,0.058515701961683375
11,825202011,0.1595750971591023,0.18767632931867367,-0.02810123215957136
12,825202012,0.10380021474716797,0.0729830224373925,0.030817192309775462
13,825202013,0.17093084284894303,0.15902754799655927,0.011903294852383756
14,825202014,0.1463454742292019,0.08794299589691362,0.05840247833228829
15,825202015,0.11358459664122364,0.11167134523257916,0.001913251408644484
16,825202016,0.19903446735080063,0.15789717529184458,0.041137292058956054
17,825202017,0.13807220915472315,0.13620859232855312,0.0018636168261700337
18,825202018,0.13440304264078093,0.09686822406240413,0.0375348185783768
19,825202019,0.20610112289932303,0.1864130490413885,0.01968807385793453
20,825202020,0.14590220276596155,0.07716529572170594,0.06873690704425561
21,825202021,0.10584950411436872,0.06837404650613682,0.0374754576082319
22,825202022,0.20693789479411037,0.1452565993424562,0.06168129545165418
23,825202023,0.18139030195525369,0.13059560958620847,0.05079469236904521
24,825202024,0.1849122027131151,0.13340493299158898,0.05150726972152611
25,825202025,0.18270369127688732,0.17240929083608864,0.010294400440798684
26,825202026,0.1890376851837381,0.1725299448689634,0.0165077403147747
27,825202027,0.18000833003567798,0.17556081317220298,0.004447516863474998
28,825202028,0.10070542921300037,0.12057878351771194,-0.01987335430471157
29,825202029,0.09130782620413402,0.08459194814614368,0.006715878057990343
30,825202030,0.19928000982849894,0.16892845968337247,0.03035155014512647
31,825202031,0.1711471356823184,0.17100890649436506,0.00013822918795333705
