unit,m,q,C,F,dwell,F-C,F-C_conditional_SE,F-C_adverse,F-C_minimum,F-dwell,F-dwell_conditional_SE,F-dwell_adverse,F-dwell_minimum,dwell-C,dwell-C_conditional_SE,dwell-C_adverse,dwell-C_minimum,whole_command_wall_s,summary_process_wall_s,last_panel_log_wall_s,inclusive_native_charge_s,peak_rss_kib
1,12794,23947,0.12104886253683397,0.21471109870665692,0.14244737293403348,0.09366223616982294,0.007994932212935645,5,-0.0204041488371334,0.07226372577262344,0.00770189903078937,10,-0.0405129134774391,0.021398510397199512,0.008304115977646407,23,-0.17710717739508272,167.06,162.43909501598682,162.4378159570042,170,546928
2,11477,24930,0.1466230275134693,0.2574066173306616,0.17248768112386742,0.11078358981719232,0.006034443449315053,2,-0.0323590792584806,0.08491893620679422,0.006279027410915415,5,-0.05542320100051268,0.025864653610398098,0.0055197020799894435,16,-0.07310748629919928,168.51,164.04166260396596,164.04035623092204,171,548684
3,18150,21370,0.2107563969036665,0.3073045460453829,0.24904193956551257,0.09654814914171637,0.00676766973471349,3,-0.031253358252884444,0.0582626064798703,0.007988272264410168,13,-0.07156931316140477,0.038285542661846084,0.007159382475436171,13,-0.140810165657935,175.29,169.75113218510523,169.74978735507466,178,550036
4,12604,21030,0.188648829009884,0.2922970884155975,0.22154081054956742,0.10364825940571346,0.006679489755689211,0,0.010221826915565946,0.07075627786603002,0.006116843470665034,5,-0.03458754537655784,0.03289198153968343,0.006289892056978877,15,-0.07346524418131356,166.65,162.05238466197625,162.05118205701,169,548880
5,14295,23946,0.12806351216283837,0.20300112105582604,0.163533822394912,0.07493760889298767,0.0078305958641839,7,-0.09167901784519482,0.03946729866091406,0.007031101463584055,13,-0.11330831398543613,0.03547031023207362,0.007003689077299174,16,-0.07054707035337573,164.41,159.809225467965,159.80775067897048,167,548600
