master,episode,reset_seed,COND_J,DENSE_J,COND_minus_DENSE
8242,0,824202000,0.14757643497838568,0.21166233932944095,-0.06408590435105527
8242,1,824202001,0.05406545315212143,0.1267117181286777,-0.07264626497655627
8242,2,824202002,0.16195370277697835,0.13901256224692318,0.022941140530055165
8242,3,824202003,0.07973919423342762,0.19848826389410526,-0.11874906966067764
8242,4,824202004,0.06699870802896483,0.16634414061969016,-0.09934543259072533
8242,5,824202005,0.05820194210425844,0.09207254386828853,-0.03387060176403009
8242,6,824202006,0.09543321698589734,0.11563516940560119,-0.02020195241970385
8242,7,824202007,0.07842367164306879,0.10341593376040567,-0.024992262117336878
8242,8,824202008,0.09451348720020639,0.18074517218838476,-0.08623168498817838
8242,9,824202009,0.06373164012128439,0.17272424515488496,-0.10899260503360057
8242,10,824202010,0.08802337268441719,0.16184180778337426,-0.07381843509895707
8242,11,824202011,0.11327649724623882,0.08943330810008873,0.023843189146150093
8242,12,824202012,0.10848332950003865,0.12965636067124212,-0.021173031171203463
8242,13,824202013,0.09145299628275594,0.1200789908792524,-0.028625994596496465
8242,14,824202014,0.09447430859863999,0.17863005229093615,-0.08415574369229616
8242,15,824202015,0.08362439248747452,0.10464892320441185,-0.02102453071693733
8242,16,824202016,0.122956588204056,0.17949994220994964,-0.05654335400589364
8242,17,824202017,0.12760962166516185,0.21182180351250585,-0.084212181847344
8242,18,824202018,0.030237988413388633,0.1255957675694408,-0.09535777915605216
8242,19,824202019,0.05794327087862674,0.09499001804321242,-0.037046747164585676
8242,20,824202020,0.10958952578976101,0.1418445044728902,-0.032254978683129196
8242,21,824202021,0.09097560942389143,0.18998525998870708,-0.09900965056481564
8242,22,824202022,0.1048282849519723,0.16651541559524868,-0.06168713064327638
8242,23,824202023,0.1073685155888563,0.17802013304800418,-0.07065161745914789
8242,24,824202024,0.07325655282558152,0.13504449383259598,-0.06178794100701446
8242,25,824202025,0.04587061494316879,0.13431593753504928,-0.08844532259188048
8242,26,824202026,0.10090885996370659,0.14210532414577284,-0.04119646418206625
8242,27,824202027,0.06375872674943363,0.13612161561949043,-0.0723628888700568
8242,28,824202028,0.09938608365781838,0.1695807592992216,-0.0701946756414032
8242,29,824202029,0.06586726273459476,0.13252681290729493,-0.06665955017270017
8242,30,824202030,0.08246066119678061,0.09589018490671748,-0.013429523709936872
8242,31,824202031,0.06227213703603874,0.11930759135727637,-0.057035454321237626
