episode,COND,DENSE,COND_minus_DENSE
0,0.09369393392042354,0.12557687918982066,-0.031882945269397125
1,0.1614345337251961,0.1905237318245661,-0.029089198099370023
2,0.09790413439456816,0.16317222758325206,-0.0652680931886839
3,0.07076586485173243,0.1151653426466139,-0.04439947779488147
4,0.06088831562612436,0.08051172062055703,-0.019623404994432672
5,0.053406775489190546,0.07874167778574369,-0.025334902296553143
6,0.07686638287634448,0.09763545261875019,-0.020769069742405707
7,0.23243636365307568,0.25729409573891554,-0.024857732085839856
8,0.10465851385777894,0.1494750574526057,-0.04481654359482676
9,0.06561259169239667,0.09046649122724745,-0.024853899534850787
10,0.24501691505795936,0.25303288509304106,-0.008015970035081699
11,0.0830838527989384,0.12371324472053583,-0.040629391921597424
12,0.11207281759315621,0.15402491977360486,-0.04195210218044865
13,0.032969707567694656,0.06562696947323811,-0.03265726190554345
14,0.1206519764938401,0.14614643148277917,-0.02549445498893907
15,0.10256713160039471,0.13034233612929577,-0.02777520452890106
16,0.040944696584616386,0.05491943367037807,-0.013974737085761683
17,0.20082786786472578,0.1942153717653783,0.006612496099347498
18,0.09852655424617958,0.11494109910066864,-0.016414544854489066
19,0.12989333640579154,0.16521632458149862,-0.03532298817570709
20,0.052544867297458546,0.06909952595179443,-0.016554658654335884
21,0.17982502701575673,0.20994833941811847,-0.03012331240236174
22,0.20843145507982155,0.2519995679792394,-0.04356811289941784
23,0.02505111866169461,0.0321821219348591,-0.007131003273164491
24,0.22502058306540165,0.21404706270938237,0.010973520356019284
25,0.18668260360328448,0.21764529931400656,-0.030962695710722077
26,0.11763243528444657,0.12961387794358586,-0.011981442659139294
27,0.15412807607350107,0.20056206311544106,-0.04643398704193999
28,0.1654917114642949,0.18225178522126673,-0.016760073756971833
29,0.13349184331235922,0.1636794614926466,-0.030187618180287368
30,0.12399870807115591,0.13317910758889767,-0.009180399517741758
31,0.1912189505124512,0.22238742206814466,-0.031168471555693467
