contrast,zone,n,R_fail_60,U_total,U_intact,J_ext,R_fail_60_descriptive_SE
MAPR_final_minus_initial,all,64,0.20412760416666667,0.3568879797090057,0.44966500946969695,0.2805077919378362,0.017111614278874872
MAPR_final_minus_initial,1,32,0.26119791666666664,0.35650882500014175,0.31364774981962484,0.3088533708334042,0.0239193212502249
MAPR_final_minus_initial,2,32,0.14705729166666667,0.3572671344178697,0.5856822691197691,0.2521622130422682,0.020195442082345652
DIRECT_final_minus_initial,all,64,0.18865885416666667,0.3538486142917862,0.44819979933261184,0.27125373422922644,0.013919579399708379
DIRECT_final_minus_initial,1,32,0.233125,0.34643805985197723,0.3188274485930736,0.2897815299259886,0.020225923505017625
DIRECT_final_minus_initial,2,32,0.14419270833333334,0.3612591687315952,0.57757215007215,0.2527259385324643,0.01583879205098522
MAPR_minus_DIRECT,all,64,0.015468749999999996,0.003039365417219516,0.0014652101370851373,0.009254057708609757,0.013380397505644622
MAPR_minus_DIRECT,1,32,0.028072916666666663,0.010070765148164528,-0.005179698773448775,0.019071840907415594,0.019491909303857632
MAPR_minus_DIRECT,2,32,0.0028645833333333336,-0.003992034313725496,0.00811011904761905,-0.0005637254901960809,0.018371361216372298
MAPR_minus_BCRH,all,64,-0.04182291666666667,-0.04817643922447522,-0.050148922258297264,-0.04499967794557094,0.013597778473207135
MAPR_minus_BCRH,1,32,-0.04026041666666667,-0.05852526743659677,-0.06928481240981242,-0.04939284205163172,0.018745087375396402
MAPR_minus_BCRH,2,32,-0.04338541666666667,-0.03782761101235367,-0.031013032106782107,-0.040606513839510174,0.019999787797793385
DIRECT_minus_BCRH,all,64,-0.057291666666666664,-0.051215804641694736,-0.0516141323953824,-0.0542537356541807,0.01568709003834848
DIRECT_minus_BCRH,1,32,-0.06833333333333333,-0.0685960325847613,-0.06410511363636365,-0.06846468295904731,0.020841799355104225
DIRECT_minus_BCRH,2,32,-0.04625,-0.033835576698628175,-0.03912315115440116,-0.040042788349314094,0.02362137400821219
